Molecule,Name,Mass Molar,ω,Tc [K],Pc [bar],Zc,Vc [cm^3/mol],Tn [K]
CH4,Methane,16.043,0.012,190.6,45.99,0.286,98.6,111.4
C2H6,Ethane,30.07,0.1,305.3,48.72,0.279,145.5,184.6
C3H8,Propane,44.097,0.152,369.8,42.48,0.276,200,231.1
C4H10,n-Butane,58.123,0.2,425.1,37.96,0.274,255,272.7
C5H12,n-Pentane,72.15,0.252,469.7,33.7,0.27,313,309.2
C6H14,n-Hexane,86.177,0.301,507.6,30.25,0.266,371,341.9
C7H16,n-Heptane,100.204,0.35,540.2,27.4,0.261,428,371.6
C8H18,n-Octane,114.231,0.4,568.7,24.9,0.256,486,398.8
C9H20,n-Nonane,128.258,0.444,594.6,22.9,0.252,544,424
C10H22,n-Decane,142.285,0.492,617.7,21.1,0.247,600,447.3
C4H10,Isobutane,58.123,0.181,408.1,36.48,0.282,262.7,261.4
C8H18,Isooctane,114.231,0.302,544,25.68,0.266,468,372.4
C5H10,Cyclopentane ,70.134,0.196,511.8,45.02,0.273,258,322.4
C6H12,Cyclohexane ,84.161,0.21,553.6,40.73,0.273,308,353.9
C6H12,Methylcyclopentane ,84.161,0.23,532.8,37.85,0.272,319,345
C7H16,Methylcyclohexane ,98.188,0.235,572.2,34.71,0.269,368,374.1
C2H4,Ethylene ,28.054,0.087,282.3,50.4,0.281,131,169.4
C3H6,Propylene ,42.081,0.14,365.6,46.65,0.289,188.4,225.5
C4H8,1-Butene ,56.108,0.191,420,40.43,0.277,239.3,266.9
C4H8,cis-2-Butene ,56.108,0.205,435.6,42.43,0.273,233.8,276.9
C4H8,trans-2-Butene ,56.108,0.218,428.6,41,0.275,237.7,274
C6H12,1-Hexene ,84.161,0.28,504,31.4,0.265,354,336.3
C4H8,Isobutylene ,56.108,0.194,417.9,40,0.275,238.9,266.3
C4H6,"1,3-Butadiene ",54.092,0.19,425.2,42.77,0.267,220.4,268.7
C6H10,Cyclohexene ,82.145,0.212,560.4,43.5,0.272,291,356.1
C2H2,Acetylene ,26.038,0.187,308.3,61.39,0.271,113,189.4
C6H6,Benzene ,78.114,0.21,562.2,48.98,0.271,259,353.2
C7H8,Toluene ,92.141,0.262,591.8,41.06,0.264,316,383.8
C8H10,Ethylbenzene ,106.167,0.303,617.2,36.06,0.263,374,409.4
C9H12,Cumene ,120.194,0.326,631.1,32.09,0.261,427,425.6
C8H10,o-Xylene ,106.167,0.31,630.3,37.34,0.263,369,417.6
C8H10,m-Xylene ,106.167,0.326,617.1,35.36,0.259,376,412.3
C8H10,p-Xylene ,106.167,0.322,616.2,35.11,0.26,379,411.5
C8H8,Styrene ,104.152,0.297,636,38.4,0.256,352,418.3
C10H8,Naphthalene ,128.174,0.302,748.4,40.51,0.269,413,491.2
C12H10,Biphenyl ,154.211,0.365,789.3,38.5,0.295,502,528.2
CH2O,Formaldehyde ,30.026,0.282,408,65.9,0.223,115,254.1
C2H4O,Acetaldehyde ,44.053,0.291,466,55.5,0.221,154,294
C3H6O2,Methyl acetate ,74.079,0.331,506.6,47.5,0.257,228,330.1
C4H8O2,Ethyl acetate ,88.106,0.366,523.3,38.8,0.255,286,350.2
C3H6O,Acetone ,58.08,0.307,508.2,47.01,0.233,209,329.4
C4H8O,Methyl ethyl ketone ,72.107,0.323,535.5,41.5,0.249,267,352.8
C4H10O,Diethyl ether ,74.123,0.281,466.7,36.4,0.263,280,307.6
C5H12O,Methyl t-butyl ether ,88.15,0.266,497.1,34.3,0.273,329,328.4
CH4O,Methanol ,32.042,0.564,512.6,80.97,0.224,118,337.9
C2H6O,Ethanol ,46.069,0.645,513.9,61.48,0.24,167,351.4
C3H8O,1-Propanol ,60.096,0.622,536.8,51.75,0.254,219,370.4
C4H10H,1-Butanol ,74.123,0.594,563.1,44.23,0.26,275,390.8
C6H14O,1-Hexanol ,102.177,0.579,611.4,35.1,0.263,381,430.6
C3H8O,2-Propanol ,60.096,0.668,508.3,47.62,0.248,220,355.4
C6H6O,Phenol ,94.113,0.444,694.3,61.3,0.243,229,455
C2H6O2,Ethylene glycol ,62.068,0.487,719.7,77,0.246,191,470.5
C2H4O2,Acetic acid ,60.053,0.467,592,57.86,0.211,179.7,391.1
C4H8O2,n-Butyric acid ,88.106,0.681,615.7,40.64,0.232,291.7,436.4
C7H6O2,Benzoic acid ,122.123,0.603,751,44.7,0.246,344,522.4
C2H3N,Acetonitrile ,41.053,0.338,545.5,48.3,0.184,173,354.8
CH5N,Methylamine ,31.057,0.281,430.1,74.6,0.321,154,266.8
C2H7N,Ethylamine ,45.084,0.285,456.2,56.2,0.307,207,289.7
CH3NO2,Nitromethane ,61.04,0.348,588.2,63.1,0.223,173,374.4
CCL4,Carbon tetrachloride ,153.822,0.193,556.4,45.6,0.272,276,349.8
CHCL3,Chloroform ,119.377,0.222,536.4,54.72,0.293,239,334.3
CH2CL2,Dichloromethane ,84.932,0.199,510,60.8,0.265,185,312.9
CH3CL,Methyl chloride ,50.488,0.153,416.3,66.8,0.276,143,249.1
C2H5CL,Ethyl chloride ,64.514,0.19,460.4,52.7,0.275,200,285.4
C6H5CL,Chlorobenzene ,112.558,0.25,632.4,45.2,0.265,308,404.9
C2F4,Tetrafluoroethane ,102.03,0.327,374.2,40.6,0.258,198,247.1
Ar,Argon ,39.948,0,150.9,48.98,0.291,74.6,87.3
Kr,Krypton ,83.8,0,209.4,55.02,0.288,91.2,119.8
Xe,Xenon ,131.3,0,289.7,58.4,0.286,118,165
He,Helium 4 ,4.003,-0.39,5.2,2.28,0.302,57.3,4.2
H2,Hydrogen ,2.016,-0.216,33.19,13.13,0.305,64.1,20.4
O2,Oxygen ,31.999,0.022,154.6,50.43,0.288,73.4,90.2
N,Nitrogen ,28.014,0.038,126.2,34,0.289,89.2,77.3
Air,Air,28.851,0.035,132.2,37.45,0.289,84.8,0
CL2,Chlorine ,70.905,0.069,417.2,77.1,0.265,124,239.1
CO,Carbon monoxide ,28.01,0.048,132.9,34.99,0.299,93.4,81.7
CO2,Carbon dioxide ,44.01,0.224,304.2,73.83,0.274,94,0
C2S,Carbon disulfide ,76.143,0.111,552,79,0.275,160,319.4
H2S,Hydrogen sulfide ,34.082,0.094,373.5,89.63,0.284,98.5,212.8
SO2,Sulfur dioxide ,64.065,0.245,430.8,78.84,0.269,122,263.1
SO3,Sulfur trioxide ,80.064,0.424,490.9,82.1,0.255,127,317.9
NO,Nitric oxide ,30.006,0.583,180.2,64.8,0.251,58,121.4
N20,Nitrous oxide ,44.013,0.141,309.6,72.45,0.274,97.4,184.7
HCL,Hydrogen chloride ,36.461,0.132,324.7,83.1,0.249,81,188.2
HCN,Hydrogen cyanide ,27.026,0.41,456.7,53.9,0.197,139,298.9
H2O,Water ,18.015,0.345,647.1,220.55,0.229,55.9,373.2
NH3,Ammonia ,17.031,0.253,405.7,112.8,0.242,72.5,239.7
HNO3,Nitric acid ,63.013,0.714,520,68.9,0.231,145,356.2
H2SO4,Sulfuric acid ,98.08,0,924,64,0.147,177,610
